config,train_acc,val_acc,test_acc,train_val_gap,train_beats_baseline
original (too restrictive),0.6076655052264809,0.6367432150313153,0.6179540709812108,-0.029077709804834373,0.045993031358885106
ultra conservative,0.6020905923344948,0.6450939457202505,0.6304801670146137,-0.04300335338575567,0.04041811846689902
balanced,0.6153310104529617,0.6450939457202505,0.6096033402922756,-0.029762935267288793,0.0536585365853659
moderate conservative,0.6487804878048781,0.6367432150313153,0.605427974947808,0.012037272773562813,0.08710801393728229
moderate,0.6696864111498257,0.6471816283924844,0.6096033402922756,0.022504782757341357,0.10801393728222997
looser,0.7337979094076655,0.6346555323590815,0.5908141962421712,0.09914237704858408,0.17212543554006976
 
